EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  10  0.118217  3.5242  5.2079 -2.6472 14.7965 14.0366 14.0390 12.7875 13.1541 12.6009 12.2721 11.6239 11.6594 10.9670 10.7806 10.3791
  11  0.144020  3.5296  5.1426 -2.4745 14.2498 13.5126 13.4982 12.2862 12.6432 12.0937 11.7641 11.1497 11.1867 10.5180 10.3385  9.9469
  12  0.169354  3.5365  5.0974 -2.3312 13.7627 13.0485 13.0179 11.8468 12.1932 11.6476 11.3174 10.7397 10.7785 10.1384  9.9672  9.5886
  13  0.188194  3.5423  5.0714 -2.2363 13.4271 12.7293 12.6874 11.5468 11.8852 11.3423 11.0116 10.4624 10.5029  9.8842  9.7197  9.3521
  14  0.199899  3.5456  5.0552 -2.1808 13.2345 12.5456 12.4973 11.3739 11.7078 11.1662 10.8351 10.3017 10.3432  9.7361  9.5753  9.2139
  15  0.207233  3.5474  5.0465 -2.1490 13.1258 12.4417 12.3896 11.2758 11.6073 11.0663 10.7351 10.2102 10.2521  9.6516  9.4929  9.1350
  16  0.212502  3.5487  5.0396 -2.1262 13.0491 12.3682 12.3135 11.2064 11.5362 10.9956 10.6643 10.1452 10.1874  9.5912  9.4339  9.0784
  17  0.216326  3.5496  5.0347 -2.1099 12.9941 12.3155 12.2590 11.1566 11.4853 10.9449 10.6135 10.0986 10.1410  9.5480  9.3917  9.0379
  18  0.219285  3.5503  5.0333 -2.0999 12.9589 12.2818 12.2240 11.1249 11.4527 10.9125 10.5811 10.0690 10.1117  9.5211  9.3656  9.0132
  19  0.221727  3.5508  5.0279 -2.0874 12.9186 12.2431 12.1841 11.0882 11.4152 10.8752 10.5437 10.0344 10.0771  9.4884  9.3335  8.9821
  20  0.223529  3.5513  5.0281 -2.0822 12.8991 12.2245 12.1646 11.0708 11.3974 10.8575 10.5260 10.0185 10.0613  9.4743  9.3200  8.9694
  21  0.225566  3.5517  5.0229 -2.0714 12.8650 12.1917 12.1308 11.0396 11.3655 10.8257 10.4942  9.9889 10.0318  9.4462  9.2923  8.9425
  22  0.227584  3.5522  5.0219 -2.0646 12.8411 12.1689 12.1071 11.0181 11.3434 10.8038 10.4722  9.9689 10.0119  9.4280  9.2746  8.9257
