#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  10  0.114214  3.5321  5.2590 -2.6817 14.7912 13.9931 13.9825 12.6884 13.0587 12.4930 12.1538 11.5330 11.5760 11.0016 10.8390 10.4804
  11  0.132100  3.5393  5.2038 -2.5345 14.2789 13.5132 13.4754 12.2437 12.5998 12.0368 11.6961 11.1256 11.1720 10.6161 10.4612 10.1140
  12  0.154183  3.5475  5.1534 -2.3841 13.7513 13.0182 12.9544 11.7885 12.1294 11.5688 11.2270 10.7063 10.7561 10.2204 10.0738  9.7392
  13  0.179315  3.5565  5.1130 -2.2419 13.2432 12.5415 12.4537 11.3542 11.6798 11.1225 10.7808 10.3066 10.3597  9.8448  9.7067  9.3855
  14  0.199214  3.5625  5.0854 -2.1447 12.9039 12.2216 12.1188 11.0622 11.3781 10.8240 10.4829 10.0359 10.0910  9.5894  9.4566  9.1440
  15  0.215567  3.5665  5.0648 -2.0739 12.6651 11.9951 11.8825 10.8542 11.1638 10.6126 10.2722  9.8417  9.8981  9.4051  9.2756  8.9685
  16  0.229580  3.5695  5.0486 -2.0183 12.4801 11.8190 11.6990 10.6921 10.9970 10.4484 10.1087  9.6898  9.7472  9.2607  9.1337  8.8306
  17  0.240762  3.5717  5.0354 -1.9756 12.3396 11.6850 11.5592 10.5685 10.8698 10.3235  9.9845  9.5738  9.6318  9.1501  9.0249  8.7248
  18  0.249391  3.5734  5.0248 -1.9430 12.2332 11.5834 11.4534 10.4747 10.7734 10.2289  9.8905  9.4856  9.5440  9.0660  8.9420  8.6442
  19  0.255911  3.5746  5.0164 -1.9186 12.1546 11.5082 11.3750 10.4050 10.7019 10.1588  9.8208  9.4199  9.4787  9.0032  8.8801  8.5838
  20  0.260960  3.5754  5.0097 -1.9000 12.0953 11.4514 11.3159 10.3523 10.6478 10.1057  9.7681  9.3702  9.4292  8.9554  8.8331  8.5379
  21  0.264971  3.5761  5.0043 -1.8854 12.0489 11.4068 11.2695 10.3109 10.6054 10.0641  9.7267  9.3310  9.3901  8.9178  8.7959  8.5016
  22  0.268270  3.5766  4.9999 -1.8734 12.0109 11.3704 11.2316 10.2770 10.5706 10.0301  9.6929  9.2990  9.3582  8.8871  8.7656  8.4720
