#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
  12  0.100796  3.5264  5.3740 -2.8734 17.2520 15.7684 14.9788 13.5506 12.9555 11.4375 11.3947 10.9675
  13  0.111148  3.5346  5.3268 -2.7512 16.6939 15.2619 14.5379 13.1490 12.5695 11.1301 11.0888 10.6710
  14  0.122535  3.5429  5.2787 -2.6277 16.1334 14.7586 14.0943 12.7507 12.1842 10.8167 10.7770 10.3685
  15  0.135850  3.5514  5.2312 -2.5013 15.5689 14.2556 13.6438 12.3501 11.7958 10.4935 10.4555 10.0564
  16  0.150665  3.5593  5.1903 -2.3838 15.0609 13.8013 13.2300 11.9830 11.4407 10.1910 10.1545  9.7643
  17  0.165494  3.5659  5.1589 -2.2852 14.6466 13.4286 12.8857 11.6775 11.1464  9.9358  9.9005  9.5182
  18  0.178924  3.5711  5.1344 -2.2062 14.3217 13.1363 12.6129 11.4351 10.9135  9.7310  9.6966  9.3206
  19  0.191397  3.5752  5.1136 -2.1394 14.0538 12.8951 12.3861 11.2328 10.7191  9.5580  9.5243  9.1534
  20  0.203740  3.5788  5.0943 -2.0785 13.8159 12.6805 12.1828 11.0506 10.5441  9.4007  9.3675  9.0009
  21  0.216628  3.5821  5.0760 -2.0203 13.5927 12.4791 11.9912 10.8781 10.3784  9.2507  9.2180  8.8554
  22  0.230733  3.5853  5.0581 -1.9623 13.3731 12.2808 11.8018 10.7069 10.2140  9.1011  9.0689  8.7102
  23  0.246489  3.5886  5.0405 -1.9031 13.1511 12.0805 11.6097 10.5330 10.0469  8.9486  8.9168  8.5620
  24  0.267592  3.5924  5.0202 -1.8316 12.8850 11.8404 11.3788 10.3235  9.8458  8.7645  8.7332  8.3831
  25  0.289936  3.5961  5.0017 -1.7637 12.6348 11.6146 11.1608 10.1252  9.6554  8.5896  8.5589  8.2133
  26  0.303894  3.5982  4.9916 -1.7248 12.4916 11.4855 11.0359 10.0114  9.5462  8.4893  8.4588  8.1158
  27  0.312119  3.5993  4.9866 -1.7036 12.4146 11.4160 10.9685  9.9498  9.4871  8.4349  8.4045  8.0630
  28  0.317509  3.6001  4.9834 -1.6901 12.3652 11.3715 10.9253  9.9104  9.4493  8.4001  8.3698  8.0292
  29  0.321261  3.6006  4.9812 -1.6806 12.3304 11.3400 10.8948  9.8826  9.4226  8.3757  8.3454  8.0055
  30  0.324306  3.6011  4.9797 -1.6732 12.3021 11.3148 10.8704  9.8606  9.4016  8.3565  8.3264  7.9870
  31  0.326996  3.6015  4.9779 -1.6661 12.2752 11.2908 10.8471  9.8394  9.3814  8.3381  8.3080  7.9692
  32  0.330087  3.6020  4.9760 -1.6582 12.2453 11.2640 10.8212  9.8160  9.3590  8.3177  8.2877  7.9495
  33  0.333579  3.6025  4.9737 -1.6492 12.2118 11.2339 10.7920  9.7894  9.3335  8.2945  8.2645  7.9270
  34  0.337484  3.6031  4.9706 -1.6388 12.1741 11.1999 10.7589  9.7591  9.3044  8.2678  8.2379  7.9011
  35  0.342296  3.6038  4.9667 -1.6260 12.1282 11.1583 10.7184  9.7220  9.2688  8.2350  8.2052  7.8692
  36  0.347823  3.6045  4.9616 -1.6107 12.0740 11.1090 10.6704  9.6779  9.2263  8.1959  8.1661  7.8312
  37  0.365570  3.6075  4.9447 -1.5605 11.8903 10.9433 10.5092  9.5307  9.0853  8.0670  8.0376  7.7063
  38  0.403699  3.6166  4.9029 -1.4392 11.4143 10.5214 10.0993  9.1616  8.7352  7.7539  7.7259  7.4061
  39  0.417355  3.6204  4.8861 -1.3925 11.2275 10.3566  9.9390  9.0177  8.5991  7.6334  7.6060  7.2911
  40  0.427865  3.6237  4.8724 -1.3548 11.0744 10.2218  9.8079  8.9003  8.4885  7.5362  7.5093  7.1986
  41  0.437459  3.6270  4.8597 -1.3193 10.9281 10.0925  9.6824  8.7882  8.3833  7.4447  7.4182  7.1118
  42  0.447250  3.6307  4.8469 -1.2824 10.7725  9.9558  9.5498  8.6704  8.2729  7.3494  7.3235  7.0218
  43  0.457648  3.6349  4.8337 -1.2421 10.5982  9.8042  9.4032  8.5405  8.1517  7.2459  7.2204  6.9243
  44  0.468249  3.6398  4.8203 -1.1995 10.4063  9.6400  9.2446  8.4008  8.0219  7.1361  7.1113  6.8214
  45  0.478848  3.6451  4.8075 -1.1556 10.2000  9.4679  9.0792  8.2559  7.8876  7.0236  6.9993  6.7163
  46  0.489213  3.6506  4.7955 -1.1122  9.9857  9.2953  8.9140  8.1119  7.7543  6.9124  6.8888  6.6128
  47  0.498962  3.6560  4.7848 -1.0714  9.7773  9.1318  8.7581  7.9764  7.6290  6.8081  6.7852  6.5159
  48  0.507858  3.6611  4.7755 -1.0341  9.5810  8.9815  8.6155  7.8528  7.5148  6.7131  6.6908  6.4277
  49  0.515961  3.6660  4.7674 -0.9995  9.3911  8.8404  8.4825  7.7383  7.4088  6.6251  6.6034  6.3462
  50  0.523808  3.6710  4.7599 -0.9656  9.1993  8.7015  8.3522  7.6264  7.3054  6.5391  6.5179  6.2665
  51  0.531654  3.6761  4.7526 -0.9314  9.0026  8.5617  8.2215  7.5146  7.2018  6.4529  6.4321  6.1867
  52  0.535973  3.6789  4.7486 -0.9125  8.8934  8.4850  8.1499  7.4535  7.1451  6.4055  6.3850  6.1428
  53  0.540382  3.6818  4.7446 -0.8933  8.7821  8.4074  8.0775  7.3917  7.0876  6.3574  6.3372  6.0983
  54  0.544906  3.6848  4.7405 -0.8736  8.6689  8.3287  8.0040  7.3289  7.0292  6.3083  6.2885  6.0529
  55  0.549550  3.6879  4.7362 -0.8534  8.5538  8.2489  7.9295  7.2653  6.9700  6.2582  6.2389  6.0066
  56  0.554289  3.6910  4.7318 -0.8328  8.4365  8.1679  7.8541  7.2012  6.9101  6.2075  6.1885  5.9595
  57  0.559044  3.6942  4.7276 -0.8121  8.3182  8.0866  7.7787  7.1372  6.8502  6.1566  6.1380  5.9124
  58  0.563794  3.6974  4.7233 -0.7913  8.2005  8.0058  7.7040  7.0738  6.7909  6.1060  6.0876  5.8656
  59  0.568520  3.7006  4.7191 -0.7706  8.0836  7.9255  7.6298  7.0111  6.7321  6.0558  6.0378  5.8190
  60  0.573212  3.7038  4.7149 -0.7500  7.9686  7.8464  7.5568  6.9493  6.6742  6.0064  5.9887  5.7729
  61  0.577854  3.7070  4.7107 -0.7296  7.8556  7.7686  7.4850  6.8887  6.6172  5.9577  5.9403  5.7276
  62  0.582433  3.7101  4.7064 -0.7095  7.7458  7.6926  7.4150  6.8294  6.5615  5.9100  5.8929  5.6830
  63  0.586952  3.7131  4.7021 -0.6896  7.6385  7.6181  7.3463  6.7713  6.5070  5.8633  5.8465  5.6394
  64  0.591402  3.7161  4.6977 -0.6701  7.5348  7.5456  7.2795  6.7147  6.4538  5.8176  5.8010  5.5968
  65  0.595791  3.7190  4.6932 -0.6508  7.4344  7.4748  7.2143  6.6594  6.4017  5.7728  5.7564  5.5553
  66  0.600111  3.7218  4.6886 -0.6319  7.3375  7.4060  7.1507  6.6055  6.3509  5.7289  5.7128  5.5145
  67  0.604378  3.7245  4.6839 -0.6131  7.2429  7.3386  7.0885  6.5526  6.3010  5.6858  5.6699  5.4743
  68  0.608592  3.7272  4.6792 -0.5945  7.1503  7.2726  7.0275  6.5006  6.2519  5.6432  5.6275  5.4345
  69  0.612762  3.7299  4.6744 -0.5761  7.0600  7.2078  6.9675  6.4495  6.2036  5.6012  5.5857  5.3950
  70  0.616887  3.7325  4.6694 -0.5579  6.9726  7.1442  6.9086  6.3991  6.1560  5.5598  5.5445  5.3561
  71  0.620952  3.7350  4.6644 -0.5398  6.8884  7.0817  6.8505  6.3494  6.1091  5.5191  5.5040  5.3178
  72  0.624960  3.7375  4.6593 -0.5220  6.8067  7.0204  6.7934  6.3005  6.0629  5.4791  5.4642  5.2802
